id;trip_date;arrive_date;max_weight;notes;create_date;is_negotiate;status;created_by_enc_id;enc_id
1;2025-02-14T11:18:14;2025-02-14T14:46:41;21277;yet sugary;2025-02-14T03:39:20;false;PUBLISHED;b584a3ee-b16e-408d-8abe-daf556f91edc;eb87e69c-7e4a-42d7-8db8-89dd0b839cd6
2;2025-02-14T19:00:07;2025-02-13T23:35:45;20349;honesty hm;2025-02-14T10:54:56;false;CANCELLED;9715ed8f-24d1-49b6-b097-6db6329b63b4;930fb7f2-0247-4f54-8670-e3341213fb81
3;2025-02-14T16:44:25;2025-02-14T05:34:04;8638;yieldingly milky monthly;2025-02-13T23:50:37;false;COMPLETED;0a33cef5-d699-46fa-bf66-c3ceb73344c9;1f4905fd-ccb4-405e-aac6-2fec8ae8731e
4;2025-02-14T11:14:39;2025-02-14T20:44:44;26848;youthfully;2025-02-14T00:55:04;false;PENDING;88ed9e56-c433-41e0-8d85-570ff8bdcb3a;e532bf15-b91e-4f5c-be1f-d6857eb485e4
5;2025-02-14T04:55:42;2025-02-14T09:00:35;5072;ah till following;2025-02-14T15:42:45;false;PENDING;42a30ffd-a3eb-46e6-9fe2-8e1a35ce3b6f;4b9bcd1b-ca5a-4995-a00b-aa02b57b8286
6;2025-02-14T05:27:18;2025-02-13T21:54:40;11217;pfft diversity lucky;2025-02-14T01:47:51;false;PUBLISHED;cd50560f-ed5b-425f-8ff5-d60c6f0c57b9;310348e8-6cd1-412a-be30-0d22334c79ec
7;2025-02-14T20:25:47;2025-02-13T21:40:55;15187;jealously;2025-02-14T06:21:39;false;CANCELLED;749a2c88-3320-457d-bb7d-2dbeafba012c;a1524326-e9cc-4021-a5de-faf9f51251b1
8;2025-02-14T21:12:08;2025-02-14T06:03:31;8181;amongst impish coexist;2025-02-14T06:33:59;true;COMPLETED;b1fdc77e-a795-48e7-94d3-a3d8dd5f39fc;53dcffab-6b54-4d54-91d0-641fb5a90fc8
9;2025-02-14T05:26:14;2025-02-14T05:02:50;4633;aw;2025-02-14T20:38:26;true;COMPLETED;ae39d940-cef6-44e8-99bf-b44d12913f34;8f691862-cc2e-4d97-a2b7-3eebc183a9dc
10;2025-02-14T14:54:12;2025-02-14T00:34:45;2784;er;2025-02-14T10:25:40;true;NEW;cfde5594-f35f-45e8-b81c-e39e15422bb2;f897b8ac-da95-4afd-919d-327093674757
