id;created_date;action_by_enc_id;entity_type;entity_enc_id
1;2025-02-14T17:30:35;e2b2b495-ee9a-4fe5-887b-e8c5c980b9f4;9663;03620cb9-9ebf-4bd0-a6ae-75bef593c614
2;2025-02-14T09:04:31;d63f0dbf-bbd6-47fa-9916-f04c61467b8d;1096;d6576547-2175-4d37-8f4b-9e6667df6417
3;2025-02-14T20:25:51;643088c1-4956-422b-93db-65a543799124;4098;c69f62bc-19a0-4535-8db1-12049d004e2c
4;2025-02-14T14:32:35;099cce72-1b22-4ebb-a127-071954c4ea6a;1270;f3daa958-8fa6-48b7-b85a-07298b7d2ece
5;2025-02-14T15:53:35;0dfc37b8-72b5-453b-8ab6-45b7d98ccd23;27338;12b1e673-0c3d-4676-836e-33772ded4fba
6;2025-02-14T14:38:41;a70c146d-cbad-4fd9-b28a-ea95d3730de5;6620;5f6c1642-a5ef-4a22-bebb-33c7cc789a04
7;2025-02-14T07:07:16;ba3ebba3-d6ad-4483-a52f-fb07288e5fed;19748;b98d0057-3e96-44a7-961c-1a7607baac52
8;2025-02-14T01:27:12;b9ccf1cc-cb3a-4057-bd3f-49ff7d55e15c;21487;5703e6e8-3670-4ef3-acf8-b79e4cb879f4
9;2025-02-14T09:29:42;e48a8bbf-57e0-4a94-9998-088d163d4fad;18020;c537124a-5d5b-4cce-ae5b-83ab085ecc66
10;2025-02-14T14:39:44;d136a286-020c-4121-afd4-9f7305a33170;557;ad164ed0-d812-4598-a36a-5a1b590aebe4
