id;create_date;valid_until;status;is_negotiable;budget;created_by_enc_id;taken_by_enc_id;enc_id
1;2025-02-14T00:41:58;2025-02-14T21:00:06;PENDING;false;29780.43;6c0f7cdb-2794-439f-bc17-8776d4f7289f;3dd1cad7-1ffd-4ecb-b0f4-f355b7ef4e32;b1dbee5e-91a6-4ffe-9e0e-46a5c1983f84
2;2025-02-14T09:10:21;2025-02-14T20:25:53;PENDING;true;23630.44;3d1f743e-d088-48e4-88f6-8018553a4487;ab1d8e30-6f4e-4d3e-a22a-4851b93b51c7;ef144637-4797-48f6-9a47-47fd99fcd043
3;2025-02-13T21:36:16;2025-02-14T09:35:31;PUBLISHED;true;26633.06;850ac46a-7c52-4fd6-a823-1ac4a5e7fba2;653069a1-846a-4de1-bd18-0f24e53de16f;81dbf7a2-cf45-428b-9e9b-7421eaaf8e45
4;2025-02-14T02:14:02;2025-02-14T03:10:57;NEW;true;24594.1;58434d23-3efc-43d6-91a9-60befeb47460;a1dd87b6-d346-4692-8db7-382cf2c4f67f;3991a017-3e29-444b-8a58-09d6dea65db2
5;2025-02-14T01:54:43;2025-02-14T09:04:08;PENDING;true;1003.28;5bd40161-01ca-49e9-85bf-437106442737;04b8f716-b8e8-4326-b4dd-4a2b579d1c09;43317e33-44a9-4599-ad9c-abde7a945291
6;2025-02-14T06:11:55;2025-02-14T07:49:49;CANCELLED;true;15725.47;0eef1921-462f-48c2-8e0b-c5f260007b91;31661142-d607-4e5c-b9e0-aefe57b3bda9;768d3369-c6d1-48a1-9e33-527180da6d07
7;2025-02-14T08:42:59;2025-02-14T01:16:19;PUBLISHED;true;5714.47;a36f932c-951e-4bea-aab3-d989dd237291;31f1d0c1-f499-4190-826a-5ab40712f631;30522bdd-958e-4a40-8f22-a651cd0dc868
8;2025-02-14T17:59:46;2025-02-14T06:33:32;REJECTED;true;17505.09;dba12742-ade2-4412-a595-bd4dbc44eb57;55be2cfe-6d1b-4db1-a096-bea5f0c4580b;ae7eba1a-2763-4609-9ed1-d9984f698f7b
9;2025-02-14T06:32:06;2025-02-14T06:43:59;CANCELLED;true;11075.18;d7f5e537-a65e-4110-91f9-8856f8f778ac;da1a8d2e-7c71-4399-9add-9cf04eb99b30;67446324-905f-47fb-9e06-28f39b07ac47
10;2025-02-14T14:36:52;2025-02-14T18:19:45;COMPLETED;true;29749.05;35d57b50-3abb-4431-8a1a-c356caf5f195;3c8d9f7d-4393-4584-88f0-ec0ad018d0e5;36f0c262-ce1f-4e0e-94a9-f37d42151850
