id;from_date;to_date;is_active;subscribed_user_enc_id
1;2025-02-13T22:13:12;2025-02-13T23:19:52;false;416a364f-7550-4b56-80e1-31de2e0f06d8
2;2025-02-13T23:12:37;2025-02-14T15:58:53;true;b3e4ac48-5ee3-4709-bf06-ff26976bee92
3;2025-02-14T03:53:19;2025-02-14T09:19:31;false;aafd213c-3289-4a96-88c0-440c3eaed415
4;2025-02-14T15:06:38;2025-02-14T13:16:16;false;34e00244-0738-47a2-b3e4-c7ace4138e8c
5;2025-02-14T00:08:26;2025-02-14T11:14:37;true;7ae4c874-57fc-4e02-b1b5-e31498882e39
6;2025-02-14T04:31:27;2025-02-14T18:55:54;true;79d10435-d8ad-4a0d-abca-5fdd1edd8354
7;2025-02-13T23:42:47;2025-02-13T22:58:19;false;c4f727e2-16f2-4b57-b4fa-767063ab9db0
8;2025-02-14T16:46:18;2025-02-14T04:20:08;false;847563fa-2fef-4cdb-87b1-7b5cfe975b1f
9;2025-02-14T01:05:51;2025-02-14T18:39:21;true;dce770a5-a726-441c-ba64-b3d387f7be4e
10;2025-02-14T06:02:44;2025-02-14T13:11:56;true;aeea8552-ef4c-43d3-930e-c82cc02eca9d
